state,collection_date,Inpatient Beds Occupied by COVID-19 Patients Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL
TX,3/20/2020,5088.773126,4960.120694,5217.425559,0.07934044617,0.07715928457,0.08152160776,,,
VA,3/20/2020,0,0,0,0,0,0,,,
VT,3/20/2020,0,0,0,0,0,0,,,
WA,3/20/2020,1485.95082,1414.832158,1557.069482,0.09259259259,0.08805414704,0.09713103815,,,
WI,3/20/2020,520.7089783,478.3161828,563.1017739,0.06382978723,0.05841478923,0.06924478524,,,
WV,3/20/2020,0,0,0,0,0,0,,,
WY,3/20/2020,6.327586207,1.814281953,10.84089046,0.004716981132,0.0007209555057,0.008713006758,,,
CW,3/20/2020,44155.40837,43760.65069,44550.16605,0.05740940079,0.05688279252,0.05793600906,,,
AL,3/21/2020,416.6744186,377.328013,456.0208242,0.02816901408,0.02549619559,0.03084183258,,,
AR,3/21/2020,224.8974359,196.3993544,253.3955174,0.02978723404,0.0258914607,0.03368300739,,,
CA,3/21/2020,3103.963218,2997.578446,3210.347991,0.0409731114,0.03955417672,0.04239204607,,,
CT,3/21/2020,542.3586207,499.7882994,584.928942,0.08463949843,0.07764799679,0.09163100008,,,
FL,3/21/2020,3719.462687,3604.376764,3834.548609,0.06703910615,0.06495134123,0.06912687106,,,
GA,3/21/2020,2370.567073,2280.585697,2460.548449,0.09798270893,0.09420938736,0.1017560305,,,
GU,3/21/2020,18.17610063,12.7755649,23.57663636,0.07142857143,0.02424806698,0.1186090759,,,
HI,3/21/2020,33.14421931,23.98431205,42.30412656,0.01369863014,0.00803222213,0.01936503814,,,
IA,3/21/2020,0,0,0,0,0,0,,,
IL,3/21/2020,0,0,0,0,0,0,,,
IN,3/21/2020,1004.370968,944.2842427,1064.457693,0.04815864023,0.04522793326,0.05108934719,,,
KS,3/21/2020,92.40858896,74.39150956,110.4256684,0.01063829787,0.008394131803,0.01288246394,,,
KY,3/21/2020,293.0137795,260.294913,325.7326461,0.01882845188,0.01665938246,0.0209975213,,,
LA,3/21/2020,2516.079004,2427.804855,2604.353153,0.149543379,0.1440086296,0.1550781284,,,
MD,3/21/2020,0,0,0,0,0,0,,,
ME,3/21/2020,120.8421053,100.2896377,141.3945728,0.04255319149,0.03493775213,0.05016863085,,,
MI,3/21/2020,1160.733005,1096.507655,1224.958355,0.0384951881,0.0362812597,0.04070911651,,,
MN,3/21/2020,189.7209302,162.9641003,216.4777601,0.0125,0.01072775156,0.01427224844,,,
MO,3/21/2020,369.2895016,332.7940583,405.7849448,0.01862630966,0.01670217825,0.02055044107,,,
MS,3/21/2020,534.3428571,490.4360656,578.2496487,0.05555555556,0.05096479807,0.06014631304,,,
MT,3/21/2020,41.50458716,29.41116084,53.59801347,0.01127819549,0.007735967504,0.01482042347,,,
NC,3/21/2020,939.3761194,881.4618837,997.2903551,0.05752212389,0.05392601453,0.06111823326,,,
ND,3/21/2020,0,0,0,0,0,0,,,
NE,3/21/2020,109.1511628,90.00434691,128.2979787,0.01772525849,0.01423191625,0.02121860074,,,
NM,3/21/2020,91.2,72.98544044,109.4145596,0.02083333333,0.01653095248,0.02513571418,,,
NY,3/21/2020,6551.439767,6406.527559,6696.351976,0.1285122064,0.1255431882,0.1314812245,,,
OH,3/21/2020,511.9747235,468.4095982,555.5398489,0.0197044335,0.01800112165,0.02140774534,,,
OK,3/21/2020,381.9042821,345.306832,418.5017322,0.02857142857,0.02565800155,0.03148485559,,,
PA,3/21/2020,1119.295775,1054.710201,1183.881348,0.02816901408,0.02654069688,0.02979733129,,,
PR,3/21/2020,32.21533923,21.29042013,43.14025833,0.004694835681,0.003051710818,0.006337960543,,,
RI,3/21/2020,124.72,103.7372324,145.7027676,0.05063291139,0.04183222705,0.05943359573,,,
TN,3/21/2020,3811.290323,3696.630759,3925.949886,0.09615384615,0.09324203615,0.09906565616,,,
TX,3/21/2020,5616.918229,5482.193485,5751.642973,0.08768768769,0.085406574,0.08996880137,,,
VA,3/21/2020,0,0,0,0,0,0,,,
WA,3/21/2020,1485.95082,1414.832158,1557.069482,0.09259259259,0.08805414704,0.09713103815,,,
WI,3/21/2020,669.4829721,621.8845666,717.0813777,0.0820668693,0.07598693832,0.08814680028,,,
WV,3/21/2020,0,0,0,0,0,0,,,
WY,3/21/2020,0,0,0,0,0,0,,,
CW,3/21/2020,51370.96304,50946.58443,51795.34165,0.06457260556,0.06402581998,0.06511939114,,,
AL,3/22/2020,625.0116279,577.1727918,672.850464,0.04225352113,0.03900380813,0.04550323413,,,
AR,3/22/2020,224.8974359,196.3993544,253.3955174,0.02978723404,0.0258914607,0.03368300739,,,
CA,3/22/2020,1357.983908,1286.776485,1429.191331,0.01792573624,0.01697598864,0.01887548383,,,
CT,3/22/2020,482.0965517,441.7552183,522.4378852,0.07523510972,0.06860968406,0.08186053537,,,
FL,3/22/2020,4804.30597,4674.886961,4933.72498,0.08659217877,0.08424439841,0.08893995913,,,
GA,3/22/2020,2047.097187,1963.359121,2130.835253,0.09283819629,0.08897452059,0.09670187199,,,
GU,3/22/2020,19.99371069,14.3514082,25.63601318,0.07857142857,0.02927878596,0.1278640712,,,
HI,3/22/2020,27.11799762,18.82209493,35.4139003,0.01120797011,0.006076043763,0.01633989646,,,
IA,3/22/2020,147.64,124.1182501,171.1617499,0.01785714286,0.01499277264,0.02072151308,,,
IL,3/22/2020,1527.32,1452.318116,1602.321884,0.04,0.0380331502,0.0419668498,,,
IN,3/22/2020,945.2903226,886.9109563,1003.669689,0.04532577904,0.04247834784,0.04817321023,,,
KS,3/22/2020,88.70789164,71.08561287,106.3301704,0.01065449011,0.00835659218,0.01295238803,,,
KY,3/22/2020,257.8463252,227.0573028,288.6353475,0.01627906977,0.01428096737,0.01827717216,,,
LA,3/22/2020,2516.079004,2427.804855,2604.353153,0.149543379,0.1440086296,0.1550781284,,,
