code,final,baseline,logPOP,dPOP,0-19,20-39,40-59,60-79,80+,d1PHHS,d2PHHS,d3PHHS,d4PHHS,d5PHHS,d6+PHHS,dHHS,dCER,days_since_100+_cases,cases
E07000236,-1.2283906,1.2824922,1.2729055,1.0198643,0.8888146,2.3044393,0.56218135,1.8989744,-1.3983866,1.2111672,1.144035,0.16128206,1.4173268,1.4306562,2.3230174,1.1270295,1.6403224,1.7535987,1.2924128
E07000237,0.23083588,1.2824922,1.2633368,1.268931,0.46892393,1.6466042,0.53165686,1.5821869,-0.70320183,1.3628836,1.1422246,0.55148727,1.6695774,1.4481646,2.1449149,0.482136,0.6978484,1.7723434,1.3029355
E07000238,0.71795714,1.2824922,1.2555395,-0.0046793143,-0.44902158,3.544006,1.2006457,2.3948066,0.9635159,1.2111148,0.94234765,0.67197526,1.3701622,1.3813472,1.6808097,0.6497364,0.9133141,1.8375669,1.3033987
E07000239,1.4561453,1.2824922,1.26368,0.49898556,-0.37424195,3.2021716,0.9137025,2.3458204,0.7112199,1.3549545,1.0027158,0.20377494,1.8430703,1.3550297,1.6806078,0.20323707,1.0731448,1.8225412,1.290815
E07000244,-0.009335063,1.2824922,1.2187239,0.008368291,-0.45946404,3.6832452,0.7015074,2.4786568,1.5595561,1.3520067,0.8965586,1.518171,1.8373708,1.4279406,1.8430094,0.18033935,0.73280317,1.8914073,1.2782621
E07000245,-1.2943342,1.2824922,1.2431929,-0.058256857,0.40546724,2.2709095,0.057073437,1.9451582,0.46814835,1.2351726,1.0812804,0.48634738,1.6884215,1.4420527,1.780091,0.6469795,0.62941164,1.584259,1.3279157
E07000246,-0.39113572,1.2824922,1.2494671,-0.20836096,-0.41851056,3.3156939,0.61068904,2.373179,1.4439974,1.3678347,1.0310245,1.1677314,1.9380361,1.3696741,1.8401335,0.13387015,0.6080063,1.6404343,1.3320824
E08000001,0.8871996,1.2824922,1.2013057,1.1243325,1.6501591,2.3730996,0.6459247,1.6835304,-1.2014465,1.3687259,1.0463947,0.33206418,1.7787879,1.4365417,2.9707975,0.81720394,1.4705186,1.9156584,1.4718072
E08000002,0.54783314,1.2824922,1.2399844,1.101086,1.1213027,2.489816,0.901672,1.7648312,-0.7358998,1.3524065,1.1028855,0.08783035,1.6806504,1.4527681,2.448033,0.7077014,0.9894283,1.9156584,1.4518039
E08000003,-0.9495722,1.2824922,1.0269681,1.3779972,1.484072,-0.97959787,-1.4989094,0.7993384,-3.4256847,1.4216365,0.7664747,0.88942146,2.0602145,1.3862294,3.6521044,0.72656536,0.49966583,1.972838,0.69481266
E08000004,0.6320423,1.2824922,1.2239909,1.041973,2.3556285,2.225044,0.24852824,1.5444301,-1.430546,1.2782304,0.8433996,0.31617165,1.9359729,1.345194,3.8354363,1.5119655,1.2872515,1.9502603,1.4778156
E08000005,-0.120501265,1.2824922,1.2300214,0.96732855,1.7283272,2.1941383,0.49732012,1.6199944,-1.3623147,1.363892,0.9561947,0.5992985,1.9452939,1.3262304,3.427841,0.99903035,1.0452958,1.9273674,1.4912661
E08000006,1.6326519,1.2824922,1.2160262,1.2159956,1.0922589,0.8192291,-0.39984417,1.3079138,-1.6993209,1.552547,1.1244293,0.31812167,2.0865905,1.3988894,2.4360824,-0.07479706,0.6602336,1.9615586,1.4907122
E08000007,0.47742257,1.2824922,1.1980333,1.1721125,0.6119071,2.7783718,1.0611995,1.8911611,0.30207944,1.379831,1.137343,0.32949892,1.4471539,1.4531674,1.9865305,0.46873876,1.2446553,1.9502603,1.4677486
E08000008,0.57471824,1.2824922,1.2280775,1.1509289,0.96297365,2.3659344,0.9655135,1.7570047,-1.140481,1.40993,1.1082001,-0.41764876,1.8025182,1.4308615,2.3089342,0.4118242,1.4299608,1.9156584,1.4637996
E08000009,-0.025657985,1.2824922,1.2236919,1.158262,1.5075053,2.7631507,1.3104811,1.5896851,-0.2665189,1.3124963,1.0690967,0.17932688,1.2347325,1.361738,2.2446551,0.9491172,1.7048612,1.9502603,1.4144949
E08000010,-0.18267544,1.2824922,1.17933,1.0602223,0.39712408,2.5540855,1.2053493,1.9289846,-1.2002203,1.3228209,1.1441592,-0.87475675,1.4509683,1.3937507,1.6549051,0.54339135,1.5481908,1.9156584,1.4369491
E08000011,0.16651897,1.2824922,1.2504522,1.0565947,1.0632403,2.2748034,0.6159593,1.7408992,-0.6425661,1.3491473,0.95953745,-0.71719563,1.3966537,1.322541,2.0655892,0.83921903,1.6138262,1.9036933,1.3794935
E08000012,0.5980865,1.2824922,1.0666635,1.3640012,0.22290252,0.4433897,-0.6184713,1.3913181,-1.5027577,1.7108035,0.93923336,0.47950754,2.0301237,1.4506923,2.2240245,-0.1940604,0.5984416,1.9954922,1.1264187
E08000013,0.5485772,1.2824922,1.2428721,0.9451953,0.17112872,2.5997844,0.8951365,2.0342984,-0.26110098,1.3431163,1.1433456,-0.8192969,1.6025429,1.4172827,1.5937252,0.4460339,1.4066174,1.9273674,1.3755499
E08000014,0.41536042,1.2824922,1.2062501,1.0700159,-0.24203005,3.131808,0.89530694,2.2163901,1.2445945,1.3913176,1.13424,0.18815582,1.6249051,1.4534357,1.9125311,0.38246465,0.79239315,1.9388797,1.4643068
