code,final,baseline,logPOP,dPOP,0-19,20-39,40-59,60-79,80+,d1PHHS,d2PHHS,d3PHHS,d4PHHS,d5PHHS,d6+PHHS,dHHS,dCER,days_since_100+_cases,cases
E07000143,-1.2700971,-0.799024,-1.0124323,-1.6085854,-0.42857245,-0.8711225,-0.60590386,-0.98125976,0.8165391,-0.61528856,-0.96207607,-0.71509504,-1.0946459,-0.24714914,-0.99196523,-1.1851946,-1.2018429,-1.3264216,1.543567
E07000144,-1.3446326,-0.799024,-1.0020436,-1.0674675,-0.4651079,-0.5885537,-0.89200264,-0.94758195,1.0180805,-0.6065225,-0.94367987,-0.843103,-1.2550288,-0.079224505,-0.8362554,-1.0964118,-0.65256345,-1.3337234,1.5991288
E07000145,-0.53038925,-0.799024,-0.93658507,-0.58019334,-0.25779173,-0.9100717,-0.54833543,-0.97978944,0.5654971,-0.45837682,-0.9902143,-0.9931765,-0.96084625,-0.2898513,-1.0093348,-1.0412468,-0.39863026,-1.317985,1.5398644
E07000146,-0.31615463,-0.799024,-1.021198,-1.6171368,-0.42560422,-0.73034084,-0.58255994,-0.91402316,0.876026,-0.59179586,-0.9439308,-0.7199638,-0.9556743,-0.18268195,-1.0072533,-1.0977981,-0.7481816,-1.3117129,1.4363371
E07000147,-1.1380812,-0.7990251,-0.95303756,-1.5958567,0.26432386,-0.23467311,-0.542934,-0.4761086,1.9597601,-0.2570887,-0.7981001,-0.13172892,-0.23242044,0.11283439,-0.9197807,-0.64806813,-1.221553,-1.349108,2.1487072
E07000148,-2.0659504,-0.7990251,-1.0139688,-0.3448934,-0.15614933,-2.4100544,-0.4261881,-0.900646,-0.60032773,0.5854883,-1.0002356,-0.56008494,-0.48312905,-0.0923021,-0.96372366,-0.5443854,-1.4660902,-1.3399175,1.5031891
E07000149,-1.7767683,-0.799024,-1.0112541,-1.3584621,-0.24442977,-0.66442156,-0.79984677,-1.0098307,0.6864356,-0.6101357,-0.9371251,-0.5860134,-1.2446636,-0.15307017,-0.896416,-1.1185284,-0.7220119,-1.3379743,1.5765243
E07000150,0.079183705,-0.799024,-0.7687697,-0.41592798,2.4892385,-1.5564033,-0.70123714,-0.9999708,-1.329201,-0.614906,-0.9877517,-1.1970925,-1.2427713,-0.630155,-1.0014701,-1.3548146,-0.22363012,-1.3536611,1.7045215
E07000151,-0.050846018,-0.799024,-0.8696186,-1.4824636,-0.09335488,-0.79629666,-1.2951531,-1.0720143,-0.31279778,-0.6003747,-0.9972835,-0.7839974,-1.2726178,-0.48188335,-0.93133855,-1.3187783,-1.3503532,-1.3491079,1.674939
E07000152,-0.27096164,-0.799024,-0.9158378,-1.2268342,0.28605267,-0.75102955,-1.1319795,-1.0824896,-0.08922062,-0.6116163,-0.9937612,-0.7678862,-1.272636,-0.32206795,-0.9482058,-1.2693988,-1.2034054,-1.3417401,1.5401456
E07000153,-0.16955955,-0.799024,-0.94293904,-0.7099657,1.0420252,-1.1179558,-0.8576629,-1.1053159,-0.49130455,-0.5342007,-0.99990904,-0.9475193,-1.2627196,-0.3411305,-0.9657209,-1.1576664,-0.4412111,-1.320925,1.4806358
E07000154,0.682588,-0.799024,-1.0331693,-0.2964217,2.184011,-1.6208948,-0.5981837,-1.0067862,-0.9203605,-0.4810665,-0.9882523,-0.916261,-1.1635352,-0.5754772,-1.0617965,-1.2178416,-0.7825631,-1.2897086,1.2744194
E07000155,-0.9642247,-0.799024,-0.90991443,-1.3869486,0.15850683,-0.63604647,-1.5963396,-1.0811071,-0.25164,-0.5621628,-0.9968393,-0.8308656,-1.1409178,-0.48152965,-0.8973996,-1.3808802,-0.3019579,-1.339917,1.5891274
E07000156,0.012222866,-0.799024,-0.83820236,-0.6529187,1.2193681,-0.98363924,-0.7894018,-1.1037515,-0.4261135,-0.50013095,-1.0002049,-0.9900793,-1.2193159,-0.40402725,-1.0021782,-1.1427889,-0.4341354,-1.3521677,1.6232157
E07000163,0.13042301,-0.799024,-0.59565586,-2.1649013,-0.43838587,-0.3345014,-0.91821223,-0.80412614,1.0538852,-0.31369638,-0.9358806,-0.4172169,-0.87041163,-0.1036457,-0.93110865,-0.8303358,-0.9155274,-1.3417401,1.6661791
E07000164,-0.7133682,-0.799024,-0.9037492,-1.9146091,-0.4425385,-0.496141,-0.9939183,-0.8825824,0.8400732,-0.5643235,-0.971739,-0.85618615,-1.1995839,-0.13543497,-0.887365,-1.0582081,-1.0795845,-1.3264216,1.5312493
E07000165,-0.6763896,-0.799024,-1.0252296,-1.5091219,-0.2054966,-0.4860494,-1.2702098,-1.0469304,0.7974309,-0.539817,-0.98705673,-0.7334063,-1.240023,-0.16471215,-0.87612647,-1.0511038,-1.3239459,-1.317985,1.3004961
