code,final,baseline,logPOP,dPOP,0-19,20-39,40-59,60-79,80+,d1PHHS,d2PHHS,d3PHHS,d4PHHS,d5PHHS,d6+PHHS,dHHS,dCER,days_since_100+_cases
E07000235,-1.0337394,-1.7754705,-2.1372957,-1.7164129,-2.8890152,-0.46242788,-2.7198288,-1.716854,-2.453936,-0.7238059,-3.7451606,-2.6635294,-1.0336591,-1.2178538,-2.4144354,-1.5949271,-2.274423,-1.1981549
E07000236,-0.061045237,-1.7754705,-2.1092637,-2.0313253,-0.8364055,-1.3369106,-3.229095,-1.451473,-1.5241222,-0.64792794,-2.2956665,-0.6359786,-1.795103,-1.1811175,-1.8088216,-0.76399803,-1.7513027,-1.2700766
E07000237,-0.7363012,-1.7754705,-2.043698,-2.3323052,-1.2617679,-1.5721351,-3.2526662,-1.6571437,-1.9241172,-0.733044,-2.1968393,-1.3803937,-1.4613268,-1.2097963,-1.9910698,-1.3338404,-2.3185856,-1.2850002
E07000238,-0.7255551,-1.7754705,-1.9571449,-1.6912218,-2.36378,-0.72499216,-2.6248872,-1.557073,-2.6686902,-0.647894,-3.6484559,-1.6130826,-1.851026,-1.2178472,-2.449513,-1.192635,-2.1961539,-1.3463933
E07000239,-0.117543034,-1.7754705,-2.046776,-1.7334408,-2.2706676,-0.9227281,-2.9345062,-1.517674,-2.5975945,-0.7310451,-3.4369807,-0.71622396,-1.187665,-1.2172182,-2.4497082,-1.5621604,-2.0959482,-1.3307961
E07000244,-1.4247811,-1.7754705,-1.7117051,-1.6900356,-2.3767698,-0.6375174,-3.1184149,-1.6495742,-2.5840816,-0.7301617,-3.788188,-3.2724168,-1.1974725,-1.2154549,-2.291779,-1.5806241,-2.3044574,-1.4103638
E07000245,-0.8659885,-1.7754705,-1.8258475,-1.6970756,-1.3322303,-1.3499233,-3.6063683,-1.4381237,-2.5065055,-0.6634878,-3.0730226,-1.2550793,-1.4336919,-1.2123934,-2.353267,-1.194992,-2.28372,-1.1706927
E07000246,-0.8964475,-1.7754705,-1.8829552,-1.7206357,-2.3257937,-0.8597237,-3.1911938,-1.5385804,-2.658827,-0.7339968,-3.3218818,-2.5802667,-1.0113847,-1.2176815,-2.2945957,-1.6180047,-2.242349,-1.1981549
E08000001,2.1101267,-1.7754705,-1.6660038,-2.1375268,-0.32658404,-1.309807,-3.1632674,-1.569765,-1.6402813,-0.73414534,-1.3531789,-0.95981944,-1.2946153,-1.1846427,-1.1046339,-1.04749,-1.8532197,-1.4432486
E08000002,0.90671337,-1.7754705,-1.8035663,-2.1119175,-0.6395163,-1.2622437,-2.945633,-1.514355,-1.9059572,-0.7302869,-1.7039638,-0.4978221,-1.4451454,-1.1996145,-1.678417,-1.1429073,-2.1482725,-1.4432486
E08000003,2.6965387,-1.7754705,-1.3577763,-2.556653,-0.40256432,-2.694955,-5.0800867,-3.141808,-0.16718897,-0.7273554,-0.32609254,-2.0355392,-0.3551939,-1.1602155,-0.23808439,-1.1266166,-2.0446906,-1.5278465
E08000004,2.9647148,-1.7754705,-1.7290322,-2.0520074,-0.25671503,-1.3675032,-3.4649038,-1.6949266,-1.5049465,-0.6918341,-0.55933005,-0.92954654,-1.0155475,-1.1443895,0.0405168,-0.3632099,-1.9641781,-1.493618
E08000005,3.0469718,-1.7754705,-1.7522112,-1.9855206,-0.29842237,-1.3792075,-3.2789524,-1.6221625,-1.5455605,-0.7332586,-0.95320857,-1.4725878,-0.99661785,-1.1376042,-0.5457154,-0.8839508,-2.1133022,-1.4599031
E08000006,2.3328938,-1.7754705,-1.7036386,-2.2524889,-0.6623442,-1.8496889,-3.9572144,-1.9982083,-1.3423396,-0.62613076,-1.9003302,-0.9332563,-0.52062684,-1.2176675,-1.6909745,-1.7847329,-2.3177974,-1.5106691
E08000007,0.8153836,-1.7754705,-1.6586871,-2.1943653,-1.1083219,-1.1356249,-2.7879887,-1.4541591,-2.4356153,-0.73529035,-2.079099,-0.95492584,-1.7587646,-1.2044573,-2.1500318,-1.3449801,-1.9901791,-1.493618
E08000008,1.8250841,-1.7754705,-1.7442648,-2.1684144,-0.77018714,-1.3126624,-2.8853087,-1.5191177,-1.6757932,-0.73155135,-1.7466121,0.4279762,-1.2560283,-1.2149966,-1.8233703,-1.3920885,-1.8776695,-1.4432486
E08000009,0.14915024,-1.7754705,-1.7279744,-2.1772563,-0.39054447,-1.1426482,-2.4683123,-1.6499783,-2.1591034,-0.71256745,-1.4783263,-0.6700246,-2.0017364,-1.1505444,-1.8894912,-0.9295637,-1.7126962,-1.493618
E08000010,2.1166542,-1.7754705,-1.6210643,-2.0697608,-1.3415945,-1.235197,-2.618793,-1.4423128,-1.6409961,-0.7180289,-2.3234806,1.2126639,-1.7540654,-1.2177833,-2.4744709,-1.2826471,-1.8065255,-1.4432486
E08000011,1.7545588,-1.7754705,-1.8939397,-2.0661807,-0.6856734,-1.3484194,-3.1870434,-1.5293101,-1.9576023,-0.7292355,-0.9662491,0.9491465,-1.8198397,-1.1363156,-2.071031,-1.0280497,-1.7671669,-1.4267348
E08000012,2.0638945,-1.7754705,-1.4291891,-2.520236,-1.5418081,-1.988556,-4.139289,-1.8778583,-1.4616735,-0.49206826,-0.88854295,-1.2419406,-0.7967465,-1.2080292,-1.9106003,-1.8798195,-2.2227259,-1.562558
E08000013,1.4151534,-1.7754705,-1.8234414,-1.9675311,-1.6028297,-1.2155787,-2.951638,-1.4246025,-2.1619198,-0.7270801,-2.4166832,1.1208228,-1.5562823,-1.2166622,-2.5331511,-1.3638135,-1.8917682,-1.4599031
E08000014,0.81038994,-1.7754705,-1.6776774,-2.0795553,-2.1062384,-0.9604745,-2.9514804,-1.4499131,-2.699104,-0.7350748,-2.0267632,-0.6866961,-1.5251585,-1.2028631,-2.2233803,-1.4162579,-2.2712457,-1.4766939
E08000015,0.93309563,-1.7754705,-1.6241245,-2.1418738,-1.3880842,-1.0276325,-2.9271047,-1.4256597,-2.5180829,-0.7134053,-2.0528955,-0.5245959,-1.3278656,-1.2075478,-2.217756,-1.5864806,-2.117893,-1.4766939
E08000016,1.3762506,-1.7754705,-1.7157902,-1.8009826,-1.5295881,-1.259559,-2.8470225,-1.4370224,-2.0360024,-0.7251116,-2.9947417,0.59129214,-1.4775778,-1.216442,-2.5577145,-1.456043,-1.8788385,-1.5106691
E08000017,0.7189269,-1.7754705,-1.6378525,-1.7415276,-1.1874752,-1.3014535,-3.0964878,-1.4538308,-2.0896869,-0.69303215,-2.3175602,-0.2215286,-1.4918555,-1.2035098,-2.1049523,-1.1109108,-2.3079922,-1.4599031
E08000018,0.9646978,-1.7754705,-1.6906734,-1.854322,-1.0084119,-1.2023224,-3.0209062,-1.4386232,-2.1168678,-0.6960977,-2.3736835,-0.24618134,-1.616997,-1.2138216,-1.9025804,-1.0700201,-1.9082371,-1.493618
E08000019,1.4023801,-1.7754705,-1.3070123,-2.0335345,-1.1328992,-1.7990397,-3.952678,-1.8161639,-1.8701401,-0.7326727,-1.6692096,-2.413136,-1.1344545,-1.1959007,-1.1201975,-1.1338134,-2.3069,-1.6512187
E08000021,2.0506299,-1.7754705,-1.6492392,-2.2586138,-1.2259908,-2.1231287,-4.7144003,-2.0100448,-1.5914099,-0.72652864,-0.9558071,-1.9502792,-0.94575256,-1.1919632,-1.0103312,-1.2888179,-2.2338586,-1.5451442
E08000022,0.824491,-1.7754705,-1.7749985,-2.2320652,-1.8909582,-1.1948105,-2.6815588,-1.4281645,-2.3041592,-0.68143815,-2.9473054,0.0079313135,-1.3831384,-1.192696,-2.7067301,-1.8757111,-1.951705,-1.4267348
